Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2018,December,Unincorporated Vic,Total,44,
2017,December,1 North West Metro, Banyule,"4,347","3,380.2"
2017,December,1 North West Metro, Brimbank,"7,934","3,850.8"
2017,December,1 North West Metro, Darebin,"7,278","4,651.6"
2017,December,1 North West Metro, Hobsons Bay,"2,777","2,938.5"
2017,December,1 North West Metro, Hume,"8,932","4,132.6"
2017,December,1 North West Metro, Maribyrnong,"4,061","4,610.4"
2017,December,1 North West Metro, Melbourne,"13,119","8,409.6"
2017,December,1 North West Metro, Melton,"4,878","3,282.2"
2017,December,1 North West Metro, Merri-bek,"7,198","4,112.2"
2017,December,1 North West Metro, Moonee Valley,"4,086","3,288.1"
2017,December,1 North West Metro, Nillumbik,"1,218","1,891.7"
2017,December,1 North West Metro, Whittlesea,"6,867","3,204.0"
2017,December,1 North West Metro, Wyndham,"6,324","2,619.3"
2017,December,1 North West Metro, Yarra,"6,414","6,789.8"
2017,December,1 North West Metro,Total,"85,433","4,052.1"
2017,December,2 Eastern, Alpine,172,"1,356.6"
2017,December,2 Eastern, Bass Coast,"1,097","3,159.0"
2017,December,2 Eastern, Baw Baw,"1,389","2,731.5"
2017,December,2 Eastern, Benalla,565,"4,023.9"
2017,December,2 Eastern, Boroondara,"3,933","2,202.2"
2017,December,2 Eastern, East Gippsland,"1,624","3,515.8"
2017,December,2 Eastern, Greater Shepparton,"2,960","4,490.1"
2017,December,2 Eastern, Indigo,236,"1,440.5"
2017,December,2 Eastern, Knox,"4,635","2,870.8"
2017,December,2 Eastern, Latrobe,"4,877","6,498.5"
2017,December,2 Eastern, Manningham,"2,404","1,937.6"
2017,December,2 Eastern, Mansfield,292,"3,284.2"
2017,December,2 Eastern, Maroondah,"3,176","2,733.9"
2017,December,2 Eastern, Mitchell,"1,666","3,872.5"
2017,December,2 Eastern, Moira,714,"2,404.1"
2017,December,2 Eastern, Monash,"5,311","2,715.1"
2017,December,2 Eastern, Murrindindi,320,"2,240.6"
2017,December,2 Eastern, South Gippsland,575,"1,959.4"
2017,December,2 Eastern, Strathbogie,291,"2,764.3"
2017,December,2 Eastern, Towong,104,"1,716.2"
2017,December,2 Eastern, Wangaratta,820,"2,833.8"
2017,December,2 Eastern, Wellington,"1,646","3,753.8"
2017,December,2 Eastern, Whitehorse,"4,239","2,460.0"
2017,December,2 Eastern, Wodonga,"1,301","3,187.7"
2017,December,2 Eastern, Yarra Ranges,"3,054","1,949.9"
2017,December,2 Eastern,Total,"47,401","2,828.1"
2017,December,3 Southern Metro, Bayside,"2,685","2,591.2"
2017,December,3 Southern Metro, Cardinia,"2,479","2,425.6"
2017,December,3 Southern Metro, Casey,"9,355","2,880.4"
2017,December,3 Southern Metro, Frankston,"5,312","3,779.9"
2017,December,3 Southern Metro, Glen Eira,"3,677","2,440.8"
2017,December,3 Southern Metro, Greater Dandenong,"7,499","4,604.4"
2017,December,3 Southern Metro, Kingston,"4,157","2,597.0"
2017,December,3 Southern Metro, Mornington Peninsula,"4,681","2,852.5"
2017,December,3 Southern Metro, Port Phillip,"6,377","5,824.4"
2017,December,3 Southern Metro, Stonnington,"4,584","4,089.1"
2017,December,3 Southern Metro,Total,"50,806","3,319.8"
2017,December,4 Western, Ararat,463,"3,927.1"
2017,December,4 Western, Ballarat,"5,526","5,238.0"
2017,December,4 Western, Buloke,112,"1,801.2"
2017,December,4 Western, Campaspe,"1,252","3,313.9"
2017,December,4 Western, Central Goldfields,467,"3,539.8"
2017,December,4 Western, Colac-Otway,844,"3,910.1"
2017,December,4 Western, Corangamite,422,"2,593.4"
2017,December,4 Western, Gannawarra,235,"2,217.6"
2017,December,4 Western, Glenelg,680,"3,435.6"
2017,December,4 Western, Golden Plains,297,"1,314.2"
2017,December,4 Western, Greater Bendigo,"3,531","3,091.9"
2017,December,4 Western, Greater Geelong,"9,730","3,951.4"
2017,December,4 Western, Hepburn,414,"2,637.3"
2017,December,4 Western, Hindmarsh,168,"2,934.5"
2017,December,4 Western, Horsham,836,"4,186.9"
2017,December,4 Western, Loddon,173,"2,286.8"
2017,December,4 Western, Macedon Ranges,872,"1,802.1"
2017,December,4 Western, Mildura,"2,473","4,463.1"
2017,December,4 Western, Moorabool,957,"2,842.2"
2017,December,4 Western, Mount Alexander,376,"1,949.5"
2017,December,4 Western, Moyne,273,"1,627.8"
2017,December,4 Western, Northern Grampians,376,"3,245.3"
2017,December,4 Western, Pyrenees,253,"3,456.3"
2017,December,4 Western, Queenscliffe,93,"3,183.8"
2017,December,4 Western, Southern Grampians,439,"2,710.0"
2017,December,4 Western, Surf Coast,662,"2,099.3"
2017,December,4 Western, Swan Hill,938,"4,454.2"
2017,December,4 Western, Warrnambool,"1,244","3,605.7"
2017,December,4 Western, West Wimmera,67,"1,695.8"
2017,December,4 Western, Yarriambiack,242,"3,609.2"
2017,December,4 Western,Total,"34,415","3,497.3"
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,235",
2017,December,Justice Institutions and Immigration Facilities,Total,"1,235",
2017,December,Unincorporated Vic, Unincorporated Vic,73,
2017,December,Unincorporated Vic,Total,73,
2016,December,1 North West Metro, Banyule,"4,754","3,730.2"
2016,December,1 North West Metro, Brimbank,"9,242","4,526.2"
2016,December,1 North West Metro, Darebin,"8,303","5,352.4"
2016,December,1 North West Metro, Hobsons Bay,"3,075","3,290.7"
2016,December,1 North West Metro, Hume,"10,222","4,937.2"
2016,December,1 North West Metro, Maribyrnong,"4,315","4,963.1"
2016,December,1 North West Metro, Melbourne,"13,664","9,352.8"
2016,December,1 North West Metro, Melton,"5,405","3,821.9"
2016,December,1 North West Metro, Merri-bek,"8,421","4,887.6"
2016,December,1 North West Metro, Moonee Valley,"5,123","4,169.4"
2016,December,1 North West Metro, Nillumbik,"1,482","2,309.3"
2016,December,1 North West Metro, Whittlesea,"8,425","4,068.9"
2016,December,1 North West Metro, Wyndham,"7,166","3,156.7"
2016,December,1 North West Metro, Yarra,"6,968","7,501.0"
2016,December,1 North West Metro,Total,"96,565","4,715.1"
2016,December,2 Eastern, Alpine,137,"1,089.2"
2016,December,2 Eastern, Bass Coast,"1,306","3,902.7"
2016,December,2 Eastern, Baw Baw,"1,485","3,012.4"
2016,December,2 Eastern, Benalla,596,"4,262.6"
2016,December,2 Eastern, Boroondara,"4,980","2,809.2"
2016,December,2 Eastern, East Gippsland,"1,679","3,682.0"
2016,December,2 Eastern, Greater Shepparton,"3,137","4,820.8"
2016,December,2 Eastern, Indigo,166,"1,026.9"
2016,December,2 Eastern, Knox,"5,360","3,342.6"
2016,December,2 Eastern, Latrobe,"5,856","7,847.6"
2016,December,2 Eastern, Manningham,"2,749","2,242.8"
2016,December,2 Eastern, Mansfield,244,"2,813.0"
2016,December,2 Eastern, Maroondah,"3,273","2,851.0"
2016,December,2 Eastern, Mitchell,"1,844","4,412.0"
2016,December,2 Eastern, Moira,731,"2,479.1"
2016,December,2 Eastern, Monash,"5,944","3,085.8"
2016,December,2 Eastern, Murrindindi,332,"2,362.7"
2016,December,2 Eastern, South Gippsland,682,"2,341.9"
2016,December,2 Eastern, Strathbogie,268,"2,587.6"
2016,December,2 Eastern, Towong,115,"1,902.1"
2016,December,2 Eastern, Wangaratta,883,"3,088.3"
2016,December,2 Eastern, Wellington,"1,803","4,142.0"
2016,December,2 Eastern, Whitehorse,"4,091","2,411.6"
2016,December,2 Eastern, Wodonga,"1,366","3,406.5"
2016,December,2 Eastern, Yarra Ranges,"3,504","2,257.4"
2016,December,2 Eastern,Total,"52,531","3,174.0"
2016,December,3 Southern Metro, Bayside,"2,919","2,836.4"
2016,December,3 Southern Metro, Cardinia,"3,229","3,309.3"
2016,December,3 Southern Metro, Casey,"11,388","3,640.8"
2016,December,3 Southern Metro, Frankston,"6,448","4,622.2"
2016,December,3 Southern Metro, Glen Eira,"3,928","2,643.6"
2016,December,3 Southern Metro, Greater Dandenong,"8,468","5,285.2"
2016,December,3 Southern Metro, Kingston,"4,678","2,943.2"
2016,December,3 Southern Metro, Mornington Peninsula,"5,106","3,161.1"
2016,December,3 Southern Metro, Port Phillip,"7,126","6,560.1"
2016,December,3 Southern Metro, Stonnington,"5,847","5,267.4"
2016,December,3 Southern Metro,Total,"59,137","3,938.1"
2016,December,4 Western, Ararat,435,"3,703.7"
2016,December,4 Western, Ballarat,"5,869","5,670.5"
2016,December,4 Western, Buloke,101,"1,607.3"
2016,December,4 Western, Campaspe,"1,440","3,830.3"
2016,December,4 Western, Central Goldfields,523,"3,996.3"
2016,December,4 Western, Colac-Otway,826,"3,866.7"
2016,December,4 Western, Corangamite,399,"2,456.4"
2016,December,4 Western, Gannawarra,238,"2,252.3"
2016,December,4 Western, Glenelg,795,"4,023.5"
2016,December,4 Western, Golden Plains,430,"1,953.1"
2016,December,4 Western, Greater Bendigo,"3,943","3,512.2"
2016,December,4 Western, Greater Geelong,"10,765","4,494.2"
2016,December,4 Western, Hepburn,494,"3,182.0"
2016,December,4 Western, Hindmarsh,142,"2,455.0"
2016,December,4 Western, Horsham,"1,042","5,240.4"
2016,December,4 Western, Loddon,237,"3,135.8"
2016,December,4 Western, Macedon Ranges,850,"1,790.2"
2016,December,4 Western, Mildura,"2,898","5,302.1"
2016,December,4 Western, Moorabool,"1,117","3,418.8"
2016,December,4 Western, Mount Alexander,492,"2,576.3"
2016,December,4 Western, Moyne,325,"1,941.8"
2016,December,4 Western, Northern Grampians,485,"4,191.9"
2016,December,4 Western, Pyrenees,274,"3,745.2"
2016,December,4 Western, Queenscliffe,80,"2,731.3"
2016,December,4 Western, Southern Grampians,485,"3,008.1"
2016,December,4 Western, Surf Coast,791,"2,596.4"
2016,December,4 Western, Swan Hill,834,"3,991.2"
2016,December,4 Western, Warrnambool,"1,278","3,732.3"
2016,December,4 Western, West Wimmera,60,"1,524.0"
2016,December,4 Western, Yarriambiack,212,"3,144.0"
2016,December,4 Western,Total,"37,860","3,912.9"
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,834,
2016,December,Justice Institutions and Immigration Facilities,Total,834,
2016,December,Unincorporated Vic, Unincorporated Vic,76,
2016,December,Unincorporated Vic,Total,76,
2015,December,1 North West Metro, Banyule,"3,909","3,100.2"
2015,December,1 North West Metro, Brimbank,"9,037","4,499.2"
2015,December,1 North West Metro, Darebin,"7,302","4,804.8"
2015,December,1 North West Metro, Hobsons Bay,"3,285","3,583.3"
2015,December,1 North West Metro, Hume,"8,932","4,507.1"
2015,December,1 North West Metro, Maribyrnong,"4,147","4,891.3"
2015,December,1 North West Metro, Melbourne,"11,949","8,730.1"
2015,December,1 North West Metro, Melton,"5,246","3,888.4"
2015,December,1 North West Metro, Merri-bek,"7,855","4,679.2"
2015,December,1 North West Metro, Moonee Valley,"4,593","3,820.1"
2015,December,1 North West Metro, Nillumbik,"1,133","1,779.3"
2015,December,1 North West Metro, Whittlesea,"6,341","3,221.3"
2015,December,1 North West Metro, Wyndham,"6,757","3,160.2"
2015,December,1 North West Metro, Yarra,"6,124","6,810.3"
2015,December,1 North West Metro,Total,"86,610","4,379.3"
2015,December,2 Eastern, Alpine,164,"1,319.5"
2015,December,2 Eastern, Bass Coast,"1,137","3,490.3"
2015,December,2 Eastern, Baw Baw,"1,343","2,807.5"
2015,December,2 Eastern, Benalla,469,"3,368.5"
2015,December,2 Eastern, Boroondara,"4,143","2,370.8"
2015,December,2 Eastern, East Gippsland,"1,883","4,196.8"
2015,December,2 Eastern, Greater Shepparton,"3,021","4,684.5"
2015,December,2 Eastern, Indigo,227,"1,425.7"
2015,December,2 Eastern, Knox,"4,148","2,613.7"
2015,December,2 Eastern, Latrobe,"4,915","6,618.1"
2015,December,2 Eastern, Manningham,"2,083","1,724.6"
2015,December,2 Eastern, Mansfield,167,"1,957.8"
2015,December,2 Eastern, Maroondah,"3,034","2,684.4"
2015,December,2 Eastern, Mitchell,"1,529","3,797.4"
2015,December,2 Eastern, Moira,648,"2,212.5"
2015,December,2 Eastern, Monash,"4,852","2,564.8"
2015,December,2 Eastern, Murrindindi,305,"2,202.5"
2015,December,2 Eastern, South Gippsland,517,"1,796.3"
2015,December,2 Eastern, Strathbogie,197,"1,936.1"
2015,December,2 Eastern, Towong,88,"1,465.4"
2015,December,2 Eastern, Wangaratta,740,"2,629.4"
2015,December,2 Eastern, Wellington,"1,777","4,116.1"
2015,December,2 Eastern, Whitehorse,"3,609","2,165.2"
2015,December,2 Eastern, Wodonga,"1,526","3,890.6"
2015,December,2 Eastern, Yarra Ranges,"3,059","1,994.2"
2015,December,2 Eastern,Total,"45,581","2,796.0"
2015,December,3 Southern Metro, Bayside,"2,581","2,548.7"
2015,December,3 Southern Metro, Cardinia,"2,731","2,958.9"
2015,December,3 Southern Metro, Casey,"9,194","3,069.5"
2015,December,3 Southern Metro, Frankston,"5,684","4,125.1"
2015,December,3 Southern Metro, Glen Eira,"3,534","2,421.8"
2015,December,3 Southern Metro, Greater Dandenong,"6,963","4,461.7"
2015,December,3 Southern Metro, Kingston,"4,431","2,835.9"
2015,December,3 Southern Metro, Mornington Peninsula,"4,794","3,018.3"
2015,December,3 Southern Metro, Port Phillip,"6,481","6,092.3"
2015,December,3 Southern Metro, Stonnington,"4,836","4,476.6"
2015,December,3 Southern Metro,Total,"51,229","3,503.2"
2015,December,4 Western, Ararat,505,"4,337.0"
2015,December,4 Western, Ballarat,"5,669","5,586.4"
2015,December,4 Western, Buloke,113,"1,791.9"
2015,December,4 Western, Campaspe,"1,234","3,296.9"
2015,December,4 Western, Central Goldfields,447,"3,451.7"
2015,December,4 Western, Colac-Otway,718,"3,382.0"
2015,December,4 Western, Corangamite,310,"1,904.9"
2015,December,4 Western, Gannawarra,235,"2,230.4"
2015,December,4 Western, Glenelg,695,"3,524.0"
2015,December,4 Western, Golden Plains,380,"1,776.7"
2015,December,4 Western, Greater Bendigo,"3,465","3,152.6"
2015,December,4 Western, Greater Geelong,"9,374","4,024.5"
2015,December,4 Western, Hepburn,380,"2,478.2"
2015,December,4 Western, Hindmarsh,96,"1,652.9"
2015,December,4 Western, Horsham,"1,048","5,295.1"
2015,December,4 Western, Loddon,204,"2,708.8"
2015,December,4 Western, Macedon Ranges,842,"1,815.7"
2015,December,4 Western, Mildura,"2,801","5,172.1"
2015,December,4 Western, Moorabool,972,"3,061.6"
2015,December,4 Western, Mount Alexander,382,"2,032.6"
2015,December,4 Western, Moyne,259,"1,561.1"
2015,December,4 Western, Northern Grampians,439,"3,770.2"
2015,December,4 Western, Pyrenees,229,"3,189.9"
2015,December,4 Western, Queenscliffe,106,"3,614.0"
2015,December,4 Western, Southern Grampians,496,"3,068.9"
2015,December,4 Western, Surf Coast,777,"2,622.8"
2015,December,4 Western, Swan Hill,782,"3,742.9"
2015,December,4 Western, Warrnambool,"1,104","3,246.6"
2015,December,4 Western, West Wimmera,60,"1,509.8"
2015,December,4 Western, Yarriambiack,190,"2,783.5"
2015,December,4 Western,Total,"34,312","3,607.4"
2015,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,630,
2015,December,Justice Institutions and Immigration Facilities,Total,630,
2015,December,Unincorporated Vic, Unincorporated Vic,68,
2015,December,Unincorporated Vic,Total,68,
2014,December,1 North West Metro, Banyule,"3,913","3,127.7"
2014,December,1 North West Metro, Brimbank,"8,367","4,215.8"
2014,December,1 North West Metro, Darebin,"7,370","4,929.4"
2014,December,1 North West Metro, Hobsons Bay,"3,392","3,751.5"
2014,December,1 North West Metro, Hume,"8,126","4,248.3"
2014,December,1 North West Metro, Maribyrnong,"3,875","4,699.1"
2014,December,1 North West Metro, Melbourne,"10,513","8,214.9"
2014,December,1 North West Metro, Melton,"4,903","3,791.7"
2014,December,1 North West Metro, Merri-bek,"7,464","4,548.5"
2014,December,1 North West Metro, Moonee Valley,"4,214","3,578.4"
2014,December,1 North West Metro, Nillumbik,906,"1,428.3"
2014,December,1 North West Metro, Whittlesea,"6,446","3,430.6"
2014,December,1 North West Metro, Wyndham,"6,079","3,016.7"
2014,December,1 North West Metro, Yarra,"5,836","6,690.5"
2014,December,1 North West Metro,Total,"81,404","4,247.6"
2014,December,2 Eastern, Alpine,133,"1,076.5"
2014,December,2 Eastern, Bass Coast,"1,271","3,982.2"
2014,December,2 Eastern, Baw Baw,"1,261","2,703.5"
2014,December,2 Eastern, Benalla,462,"3,324.2"
2014,December,2 Eastern, Boroondara,"3,930","2,276.1"
2014,December,2 Eastern, East Gippsland,"1,677","3,787.5"
2014,December,2 Eastern, Greater Shepparton,"3,082","4,821.7"
2014,December,2 Eastern, Indigo,182,"1,156.9"
2014,December,2 Eastern, Knox,"4,249","2,698.9"
2014,December,2 Eastern, Latrobe,"4,661","6,287.3"
2014,December,2 Eastern, Manningham,"2,030","1,699.6"
2014,December,2 Eastern, Mansfield,217,"2,584.9"
2014,December,2 Eastern, Maroondah,"3,113","2,793.9"
2014,December,2 Eastern, Mitchell,"1,289","3,298.0"
2014,December,2 Eastern, Moira,590,"2,027.5"
2014,December,2 Eastern, Monash,"4,602","2,472.2"
2014,December,2 Eastern, Murrindindi,301,"2,199.2"
2014,December,2 Eastern, South Gippsland,539,"1,889.8"
2014,December,2 Eastern, Strathbogie,222,"2,216.0"
2014,December,2 Eastern, Towong,94,"1,571.4"
2014,December,2 Eastern, Wangaratta,795,"2,853.3"
2014,December,2 Eastern, Wellington,"1,753","4,081.7"
2014,December,2 Eastern, Whitehorse,"3,883","2,363.1"
2014,December,2 Eastern, Wodonga,"1,459","3,802.5"
2014,December,2 Eastern, Yarra Ranges,"3,072","2,021.5"
2014,December,2 Eastern,Total,"44,867","2,786.4"
2014,December,3 Southern Metro, Bayside,"2,153","2,157.4"
2014,December,3 Southern Metro, Cardinia,"2,329","2,644.5"
2014,December,3 Southern Metro, Casey,"8,498","2,951.3"
2014,December,3 Southern Metro, Frankston,"5,293","3,886.7"
2014,December,3 Southern Metro, Glen Eira,"3,038","2,114.2"
2014,December,3 Southern Metro, Greater Dandenong,"6,376","4,191.0"
2014,December,3 Southern Metro, Kingston,"3,961","2,568.6"
2014,December,3 Southern Metro, Mornington Peninsula,"4,607","2,943.8"
2014,December,3 Southern Metro, Port Phillip,"5,882","5,631.3"
2014,December,3 Southern Metro, Stonnington,"4,446","4,198.5"
2014,December,3 Southern Metro,Total,"46,583","3,260.1"
2014,December,4 Western, Ararat,427,"3,693.8"
2014,December,4 Western, Ballarat,"4,612","4,616.0"
2014,December,4 Western, Buloke,110,"1,736.4"
2014,December,4 Western, Campaspe,"1,334","3,572.8"
2014,December,4 Western, Central Goldfields,466,"3,616.9"
2014,December,4 Western, Colac-Otway,729,"3,449.9"
2014,December,4 Western, Corangamite,311,"1,903.3"
2014,December,4 Western, Gannawarra,229,"2,173.9"
2014,December,4 Western, Glenelg,806,"4,080.0"
2014,December,4 Western, Golden Plains,329,"1,574.2"
2014,December,4 Western, Greater Bendigo,"3,238","2,999.4"
2014,December,4 Western, Greater Geelong,"9,097","3,994.4"
2014,December,4 Western, Hepburn,351,"2,311.6"
2014,December,4 Western, Hindmarsh,85,"1,454.5"
2014,December,4 Western, Horsham,839,"4,248.5"
2014,December,4 Western, Loddon,151,"2,009.8"
2014,December,4 Western, Macedon Ranges,828,"1,820.9"
2014,December,4 Western, Mildura,"2,719","5,059.8"
2014,December,4 Western, Moorabool,848,"2,729.7"
2014,December,4 Western, Mount Alexander,377,"2,037.7"
2014,December,4 Western, Moyne,342,"2,071.2"
2014,December,4 Western, Northern Grampians,373,"3,167.2"
2014,December,4 Western, Pyrenees,229,"3,249.6"
2014,December,4 Western, Queenscliffe,62,"2,087.5"
2014,December,4 Western, Southern Grampians,376,"2,313.1"
2014,December,4 Western, Surf Coast,663,"2,296.2"
2014,December,4 Western, Swan Hill,798,"3,810.9"
2014,December,4 Western, Warrnambool,"1,134","3,362.1"
2014,December,4 Western, West Wimmera,49,"1,213.5"
2014,December,4 Western, Yarriambiack,116,"1,675.3"
2014,December,4 Western,Total,"32,028","3,412.6"
2014,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,558,
2014,December,Justice Institutions and Immigration Facilities,Total,558,
2014,December,Unincorporated Vic, Unincorporated Vic,71,
2014,December,Unincorporated Vic,Total,71,
2013,December,1 North West Metro, Banyule,"3,899","3,136.4"
2013,December,1 North West Metro, Brimbank,"9,259","4,719.9"
2013,December,1 North West Metro, Darebin,"6,649","4,514.8"
2013,December,1 North West Metro, Hobsons Bay,"3,355","3,761.7"
2013,December,1 North West Metro, Hume,"7,186","3,887.0"
2013,December,1 North West Metro, Maribyrnong,"4,092","5,129.0"
2013,December,1 North West Metro, Melbourne,"11,240","9,468.4"
2013,December,1 North West Metro, Melton,"4,454","3,593.8"
2013,December,1 North West Metro, Merri-bek,"6,404","3,995.5"
2013,December,1 North West Metro, Moonee Valley,"3,959","3,428.8"
2013,December,1 North West Metro, Nillumbik,973,"1,540.2"
2013,December,1 North West Metro, Whittlesea,"6,197","3,456.8"
2013,December,1 North West Metro, Wyndham,"5,963","3,134.9"
2013,December,1 North West Metro, Yarra,"5,543","6,601.8"
2013,December,1 North West Metro,Total,"79,173","4,264.4"
2013,December,2 Eastern, Alpine,187,"1,522.4"
2013,December,2 Eastern, Bass Coast,"1,243","3,967.3"
2013,December,2 Eastern, Baw Baw,"1,301","2,851.4"
2013,December,2 Eastern, Benalla,525,"3,783.0"
2013,December,2 Eastern, Boroondara,"4,053","2,377.3"
2013,December,2 Eastern, East Gippsland,"1,976","4,510.5"
2013,December,2 Eastern, Greater Shepparton,"2,760","4,364.1"
2013,December,2 Eastern, Indigo,214,"1,371.4"
2013,December,2 Eastern, Knox,"4,001","2,559.1"
2013,December,2 Eastern, Latrobe,"4,442","5,992.7"
2013,December,2 Eastern, Manningham,"1,955","1,651.8"
2013,December,2 Eastern, Mansfield,178,"2,150.8"
2013,December,2 Eastern, Maroondah,"2,896","2,638.0"
2013,December,2 Eastern, Mitchell,"1,197","3,167.7"
2013,December,2 Eastern, Moira,702,"2,428.6"
2013,December,2 Eastern, Monash,"4,474","2,441.4"
2013,December,2 Eastern, Murrindindi,321,"2,366.7"
2013,December,2 Eastern, South Gippsland,531,"1,878.1"
2013,December,2 Eastern, Strathbogie,204,"2,067.5"
2013,December,2 Eastern, Towong,143,"2,398.9"
2013,December,2 Eastern, Wangaratta,786,"2,842.7"
2013,December,2 Eastern, Wellington,"1,873","4,384.3"
2013,December,2 Eastern, Whitehorse,"3,798","2,343.3"
2013,December,2 Eastern, Wodonga,"1,364","3,630.1"
2013,December,2 Eastern, Yarra Ranges,"2,986","1,978.8"
2013,December,2 Eastern,Total,"44,110","2,771.3"
2013,December,3 Southern Metro, Bayside,"2,417","2,460.0"
2013,December,3 Southern Metro, Cardinia,"2,756","3,258.0"
2013,December,3 Southern Metro, Casey,"7,706","2,771.7"
2013,December,3 Southern Metro, Frankston,"5,348","3,980.6"
2013,December,3 Southern Metro, Glen Eira,"3,290","2,329.0"
2013,December,3 Southern Metro, Greater Dandenong,"6,367","4,287.5"
2013,December,3 Southern Metro, Kingston,"4,078","2,677.0"
2013,December,3 Southern Metro, Mornington Peninsula,"4,940","3,207.8"
2013,December,3 Southern Metro, Port Phillip,"5,585","5,467.1"
2013,December,3 Southern Metro, Stonnington,"4,393","4,245.0"
2013,December,3 Southern Metro,Total,"46,880","3,355.9"
2013,December,4 Western, Ararat,526,"4,577.9"
2013,December,4 Western, Ballarat,"5,023","5,107.6"
2013,December,4 Western, Buloke,105,"1,643.7"
2013,December,4 Western, Campaspe,"1,262","3,391.3"
2013,December,4 Western, Central Goldfields,484,"3,776.8"
2013,December,4 Western, Colac-Otway,669,"3,180.4"
2013,December,4 Western, Corangamite,296,"1,803.8"
2013,December,4 Western, Gannawarra,226,"2,147.1"
2013,December,4 Western, Glenelg,683,"3,450.0"
2013,December,4 Western, Golden Plains,280,"1,375.1"
2013,December,4 Western, Greater Bendigo,"3,280","3,095.6"
2013,December,4 Western, Greater Geelong,"8,011","3,586.6"
2013,December,4 Western, Hepburn,346,"2,303.3"
2013,December,4 Western, Hindmarsh,110,"1,879.7"
2013,December,4 Western, Horsham,772,"3,920.0"
2013,December,4 Western, Loddon,177,"2,354.3"
2013,December,4 Western, Macedon Ranges,852,"1,910.5"
2013,December,4 Western, Mildura,"2,715","5,107.6"
2013,December,4 Western, Moorabool,975,"3,206.2"
2013,December,4 Western, Mount Alexander,377,"2,066.1"
2013,December,4 Western, Moyne,295,"1,795.4"
2013,December,4 Western, Northern Grampians,401,"3,375.4"
2013,December,4 Western, Pyrenees,234,"3,372.7"
2013,December,4 Western, Queenscliffe,51,"1,698.9"
2013,December,4 Western, Southern Grampians,459,"2,806.5"
2013,December,4 Western, Surf Coast,635,"2,249.5"
2013,December,4 Western, Swan Hill,816,"3,885.2"
2013,December,4 Western, Warrnambool,"1,139","3,407.8"
2013,December,4 Western, West Wimmera,73,"1,770.1"
2013,December,4 Western, Yarriambiack,123,"1,749.1"
2013,December,4 Western,Total,"31,395","3,388.2"
2013,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,947,
2013,December,Justice Institutions and Immigration Facilities,Total,947,
2013,December,Unincorporated Vic, Unincorporated Vic,50,
2013,December,Unincorporated Vic,Total,50,